country;incomeperperson;alcconsumption;armedforcesrate;breastcancerper100th;co2emissions;femaleemployrate;hivrate;internet userate;lifeexpectancy;oilperperson;polityscore;relectricperperson;suicideper100th;employrate;urbanrate;
pais;Ingreso por persona;Consumo de alcohol;tasa de fuerzas armadas;;;tasa de empleo femenino;Tasa de VIH;Usuarios de Internet;Esperanza de vida;Petróleo por personaPuntuación de política;;conusmo electricidad;suicidio;tasa empleo;tasa urbana;
Ireland;2.759.509.135;14.92;0.4500244;74.9;1633778667.0;51.0;0.2;6.977.039.441;80.557;1.700.261.751;10.0;2.051.802.338;1.036.507;5.990.000.153;61.34;
Albania;1.914.996.551;7.29;10.247.361;57.4;223747333.3;4.209.999.847;;4.498.994.696;76.918;;9.0;6.363.413.834;7.699.329.853;5.140.000.153;46.72;
Central African Rep.;2.395.187.494;3.17;0.1486587;16.5;8338000.0;6.290.000.153;4.7;2.300.026.653;48.398;;-1.0;;1.354.841.995;7.130.000.305;38.58;
Barbados;9.243.587.053;6.42;0.6639555;62.5;36160666.67;6.029.999.924;1.4;7.002.859.927;76.835;;;;3.108.602.524;6.690.000.153;39.84;
Italy;1.898.226.929;9.72;17.293.464;74.4;19000454000.0;3.579.999.924;0.3;537.402.166;81.855;1.207.249.814;10.0;1.176.385.457;4.930.044.509;4.640.000.153;68.08;
Switzerland;3.766.275.125;11.41;0.52422;81.7;2406741333.0;57.0;0.4;8.216.665.988;82.338;1.487.412.187;10.0;2.361.033.336;1.323.981;6.430.000.305;73.48;
Mauritania;6.091.312.059;0.11;15.512.617;28.1;56818666.67;4.529.999.924;0.7;2.999.803.179;58.582;;-2.0;;6.882.952.213;4.690.000.153;41.0;
Oman;1.119.181.101;0.92;44.659.976;13.2;487993000.0;2.260.000.038;0.1;6.198.741.286;72.974;;-8.0;2.124.608.816;3.716.739.416;5.070.000.076;71.62;
Tanzania;4.563.857.117;7.86;0.1347296;21.1;100782000.0;7.609.999.847;5.6;1.100.005.544;58.199;;-1.0;3.863.450.298;1.241.118.145;7.819.999.695;25.52;
Thailand;2.712.517.199;7.08;10.936.515;16.6;4200940333.0;65.0;1.3;2.120.007.177;74.126;0.726249675;4.0;4.395.897.318;9.847.459.793;72.0;33.32;
Haiti;3.714.241.975;5.92;0.0;4.4;40857666.67;3.540.000.153;1.9;8.370.206.884;62.095;;5.0;9.192.394.708;1.519.248.009;5.590.000.153;46.84;
Equatorial Guinea;8.654.536.845;6.12;0.3976544;16.5;26125000.0;3.959.999.847;5.0;6.003.437.143;51.088;;-5.0;;1.012.934.971;6.170.000.076;39.38;
Guatemala;1.860.753.895;7.1;0.6608385;25.9;242594000.0;44.0;0.8;1.049.994.819;71.172;;8.0;1.873.248.822;2.234.896;6.270.000.076;48.58;
Iraq;7.362.680.538;0.47;77.379.125;31.7;2421917667.0;1.239.999.962;;2.471.948.347;69.042;;0.0;0.0;1.703.264.618;3.740.000.153;66.6;
Mali;2.698.928.811;0.99;0.3269778;18.2;17515666.67;3.440.000.153;1.0;2.699.966.448;51.444;;7.0;;8.262.892.723;4.570.000.076;32.18;
Bolivia;1.232.794.137;5.78;18.821.978;24.7;254939666.7;6.159.999.847;0.2;2.000.171.014;66.618;;7.0;2.130.616.137;2.034.178.495;7.040.000.153;65.58;
Kenya;4.686.960.436;3.88;0.1595738;25.2;283583666.7;6.659.999.847;6.3;258.997.967;57.134;;7.0;4.118.000.321;1.093.771.839;7.319.999.695;21.6;
Panama;5.900.616.944;7.3;0.7502103;29.0;170404666.7;4.340.000.153;0.9;4.274.781.206;76.128;;9.0;5.002.885.055;61.052.819;5.979.999.924;73.2;
Macedonia; FYR;2.221.185.664;8.94;2.101.467;52.1;168883000.0;2.679.999.924;;5.191.418.432;74.847;;9.0;;7.876.878.262;3.490.000.153;66.9
Austria;2.669.298.411;12.4;0.8155798;70.5;4466084333.0;4.970.000.076;0.3;7.273.157.554;80.854;1.548.790.966;10.0;2.068.123.309;1.309.437;5.709.999.847;67.16;
Fiji;2.230.676.374;2.76;11.772.684;31.2;35717000.0;3.679.999.924;0.1;1.483.073.588;69.245;;-4.0;;394.025.898;5.640.000.153;52.36;
Cuba;4.495.046.262;5.12;14.953.835;31.2;1286670000.0;4.370.000.076;0.1;1.589.997.034;79.143;;-7.0;5.287.873.497;1.057.191;56.0;75.66;
Azerbaijan;2.344.896.916;13.34;19.767.462;31.5;511107666.7;5.620.000.076;0.1;4.667.970.157;70.739;0.35917261;-7.0;9.215.621.108;1.380.964.637;6.090.000.153;51.92;
Korea; Rep.;1.637.249.978;19.15;28.339.665;20.4;9666891667.0;48.0;0.06;82.515.928;80.642;2.087.848.011;8.0;1.142.309.009;2.240.456;5.890.000.153;81.46
